Name,SalePrice,DateOfSale,Year,Mileage,Classification,Transmission,FuelType,Description,SaleLocation
mercedes-benz e class (bluetec),15396,13/03/2024,2016,84282,saloon,automatic,diesel,blue mercedes-benz e class. 2.1 e220 bluetec amg night edition (premium) g-tronic+ euro 6 (s/s) 4dr. 2 previous owners,dublin
mercedes-benz cla class (sport),10986.00,13/03/2024,2015,125415,saloon,automatic,diesel,silver mercedes-benz cla class. 2.1 cla220 cdi sport coupe 7g-dct euro 6 (s/s) 4dr. 3 previous owners,cork
mercedes-benz c class (c300),24414.00,14/03/2024,2017,40319,coupe,automatic,petrol,grey mercedes-benz c-class. 2.0 c 300 amg line premium+ auto 2dr. 1 previous owner,dublin
mercedes-benz glc class (amg line),26175.00,16/03/2024,2016,50279,suv,automatic,diesel,grey mercedes-benz glc. 250d amg line premium 5dr auto 2.1,cork
mercedes-benz glc class (glc220d),33852.00,2024-03-18,2019,24468,suv,automatic,diesel,blue mercedes-benz glc class. 2.0 glc220d amg line g-tronic+ 4matic euro 6 (s/s) 5dr. 1 previous owner,dublin
mercedes-benz c class (amg line edition),32451.00,19/03/2024,2021,12727,coupe,automatic,diesel,red mercedes-benz c-class. c 220 d coupe 2.0 2dr,meath
mercedes-benz e class (amg line),28325.00,20/03/2024,2018,44292,convertible,auto,diesel,black mercedes-benz e220. 2.0 d amg line,kildare
mercedes-benz e class (e220d),18407.00,20/03/2024,2016,97375,saloon,automatic,diesel,blue mercedes-benz e class. 2.0 e220d amg line (premium) g-tronic+ euro 6 (s/s) 4dr. 4 previous owners,cork
mercedes-benz c class (c220 cdi),6476.00,21/03/2024,2011,101153,saloon,automatic,diesel,black mercedes-benz c class. 2.1 c220 cdi blueefficiency se edition 125 g-tronic+ euro 5 (s/s) 4dr. 3 previous owners,roscommon
mercedes-benz a class (a180d),21306.00,21/03/2024,2018,19695,hatchback,automatic,diesel,black mercedes-benz a-class. 1.5 a 180 d amg line 5d 114 bhp ***great finance available***. 2 previous owners,cork
mercedes-benz gla class (amg line),21448.00,22/03/2024,2018,24263,suv,automatic,diesel,blue mercedes-benz gla class. gla 200d amg line 5dr auto 2.1,mayo
mercedes-benz e class (blueefficiency),8349.00,22/03/2024,2009,97799,coupe,automatic,petrol,blue mercedes-benz e class. 1.8 e250 cgi blueefficiency sport auto 2dr,waterford
mercedes-benz gla class (gla200),23264.00,22/03/2024,2018,28281,suv,automatic,petrol,black mercedes-benz gla. gla 200 amg line 5dr auto bluetooth 1.6,cork
mercedes-benz c class (executive se),4834,22/03/2024,2012,144286,saloon,automatic,diesel,blue mercedes-benz c class. 2.1 c220 cdi blueefficiency executive se g-tronic+ euro 5 (s/s) 4dr. 6 previous owners,clare
mercedes-benz a class (a200),22322.00,22/03/2024,2020,28732,hatchback,manual,petrol,black mercedes-benz a class. 1.3 a200 amg line (executive) euro 6 (s/s) 5dr. 1 previous owner,cork
mercedes-benz c class (amg line),16116.00,23/03/2024,2016,55768,saloon,automatic,diesel,silver mercedes-benz c class. c220d amg line auto 2.1 4dr,monaghan
mercedes-benz gle class (gle53h biturbo),93359.00,2024-03-23,2022,2075,coupe,automatic,petrol hybrid,silver mercedes-benz gle coupe. gle 53 4matic+ premium plus 5dr tct 3.0. 1 previous owner,dublin
mercedes-benz m class (ml250),16474.00,2024-03-24,2014,68297,suv,automatic,diesel,red mercedes-benz m class. 2.1 ml250 bluetec amg sport g-tronic 4wd euro 6 (s/s) 5dr. 3 previous owners,dublin
mercedes-benz gle class (amg line),27394.00,2024-03-24,2016,59594,suv,automatic,diesel,red mercedes-benz gle-class. gle 250 d 4matic amg line premium 2.1 5dr,cork
mercedes-benz slc (amg line),21667.00,2024-03-24,2017,26025,convertible,automatic,diesel,red mercedes-benz slc. 2.1 slc250d amg line g-tronic euro 6 (s/s) 2dr,meath
mercedes-benz a class (a180d),16026.00,2024-03-25,2016,47983,hatchback,automatic,diesel,silver mercedes-benz a-class. 1.5 a 180 d amg line premium 5d 107 bhp,dublin
mercedes-benz c class (bluetec),11147.00,26/03/2024,2015,90204,estat,manual,diesel,mercedes-benz c-class. 2.1 c220 bluetec sport 5d 170 bhp + sat nav + leather + history + 6% finance available* + delivery,waterford
mercedes-benz e class (blueefficiency),8456.00,27/03/2024,2012,97335,saloon,automatic,diesel,blue mercedes-benz e class. 2.1 e220 cdi blueefficiency se g-tronic+ euro 5 (s/s) 4dr. 2 previous owners,dublin
mercedes-benz c class (sport),7490.00,27/03/2024,2010,85104,saloon,automatic,diesel,silver mercedes-benz c class. 3.0 c350 cdi v6 blueefficiency sport saloon 4dr diesel auto euro 5 (231 ps). 4 previous owners,donegal
mercedes-benz a class (a160),5993.00,28/03/2024,2010,45231,hatchback,manual,petrol,black mercedes-benz a class. 1.5 a160 blueefficiency elegance se 5dr. 2 previous owners,dublin
mercedes-benz gla class (amg line),15910.00,28/03/2024,2014,64377,suv,automatic,diesel,navy mercedes-benz gla class. 2.1 gla220 cdi amg line 7g-dct 4matic euro 6 (s/s) 5dr,dublin
